yield,row,col,rep,mainplot,G,N,n_amount
4520,4,1,rep1,mp1,A,N1,0
5598,2,2,rep1,mp2,A,N2,60
6192,1,3,rep1,mp3,A,N4,120
8542,2,4,rep1,mp4,A,N6,180
5806,2,5,rep1,mp5,A,N3,90
7470,1,6,rep1,mp6,A,N5,150
4034,2,1,rep1,mp1,B,N1,0
6682,4,2,rep1,mp2,B,N2,60
6869,3,3,rep1,mp3,B,N4,120
6318,4,4,rep1,mp4,B,N6,180
5738,1,5,rep1,mp5,B,N3,90
7862,3,6,rep1,mp6,B,N5,150
3554,1,1,rep1,mp1,C,N1,0
4948,3,2,rep1,mp2,C,N2,60
5522,4,3,rep1,mp3,C,N4,120
5684,1,4,rep1,mp4,C,N6,180
5974,3,5,rep1,mp5,C,N3,90
7260,4,6,rep1,mp6,C,N5,150
4216,3,1,rep1,mp1,D,N1,0
5372,1,2,rep1,mp2,D,N2,60
2504,2,3,rep1,mp3,D,N4,120
2338,3,4,rep1,mp4,D,N6,180
4276,4,5,rep1,mp5,D,N3,90
1594,2,6,rep1,mp6,D,N5,150
6600,2,7,rep2,mp7,A,N3,90
5256,4,8,rep2,mp8,A,N2,60
7578,4,9,rep2,mp9,A,N5,150
4208,3,10,rep2,mp10,A,N1,0
9012,2,11,rep2,mp11,A,N6,180
7146,1,12,rep2,mp12,A,N4,120
6307,1,7,rep2,mp7,B,N3,90
5948,1,8,rep2,mp8,B,N2,60
6324,1,9,rep2,mp9,B,N5,150
5044,4,10,rep2,mp10,B,N1,0
7567,4,11,rep2,mp11,B,N6,180
7072,4,12,rep2,mp12,B,N4,120
5904,4,7,rep2,mp7,C,N3,90
6094,3,8,rep2,mp8,C,N2,60
6392,2,9,rep2,mp9,C,N5,150
2674,2,10,rep2,mp10,C,N1,0
7302,1,11,rep2,mp11,C,N6,180
5970,2,12,rep2,mp12,C,N4,120
5924,3,7,rep2,mp7,D,N3,90
4694,2,8,rep2,mp8,D,N2,60
1690,3,9,rep2,mp9,D,N5,150
4212,1,10,rep2,mp10,D,N1,0
1560,3,11,rep2,mp11,D,N6,180
5126,3,12,rep2,mp12,D,N4,120
6860,1,13,rep3,mp13,A,N4,120
8548,1,14,rep3,mp14,A,N6,180
6794,4,15,rep3,mp15,A,N3,90
4030,1,16,rep3,mp16,A,N1,0
6162,1,17,rep3,mp17,A,N2,60
7642,2,18,rep3,mp18,A,N5,150
6744,3,13,rep3,mp13,B,N4,120
5736,2,14,rep3,mp14,B,N6,180
6732,3,15,rep3,mp15,B,N3,90
3840,4,16,rep3,mp16,B,N1,0
5316,3,17,rep3,mp17,B,N2,60
6666,4,18,rep3,mp18,B,N5,150
6550,4,13,rep3,mp13,C,N4,120
5210,4,14,rep3,mp14,C,N6,180
6104,2,15,rep3,mp15,C,N3,90
3304,2,16,rep3,mp16,C,N1,0
5286,4,17,rep3,mp17,C,N2,60
6410,1,18,rep3,mp18,C,N5,150
3818,2,13,rep3,mp13,D,N4,120
1744,3,14,rep3,mp14,D,N6,180
4236,1,15,rep3,mp15,D,N3,90
5016,3,16,rep3,mp16,D,N1,0
4382,2,17,rep3,mp17,D,N2,60
2856,3,18,rep3,mp18,D,N5,150
