rep,row,col,gen,yield
Rep1,1,1,G20,3.77
Rep1,1,2,G4,3.21
Rep1,1,3,G33,4.55
Rep1,1,4,G28,4.09
Rep1,1,5,G7,5.05
Rep1,1,6,G12,4.19
Rep1,1,7,G30,3.27
Rep1,2,1,G10,3.44
Rep1,2,2,G14,4.30
Rep1,2,3,G16,.
Rep1,2,4,G21,3.86
Rep1,2,5,G31,3.26
Rep1,2,6,G6,4.30
Rep1,2,7,G18,3.72
Rep1,3,1,G22,3.49
Rep1,3,2,G11,4.20
Rep1,3,3,G19,4.77
Rep1,3,4,G26,2.56
Rep1,3,5,G29,2.87
Rep1,3,6,G15,1.93
Rep1,3,7,G23,2.26
Rep1,4,1,G24,3.62
Rep1,4,2,G25,4.52
Rep1,4,3,G5,4.23
Rep1,4,4,G32,3.76
Rep1,4,5,G2,3.61
Rep1,4,6,G27,3.62
Rep1,4,7,G8,4.01
Rep1,5,1,G17,3.81
Rep1,5,2,G9,3.75
Rep1,5,3,G3,4.81
Rep1,5,4,G34,3.69
Rep1,5,5,G13,4.61
Rep1,5,6,G35,2.68
Rep1,5,7,G1,4.15
Rep2,1,1,G31,4.70
Rep2,1,2,G19,7.37
Rep2,1,3,G25,5.03
Rep2,1,4,G34,5.33
Rep2,1,5,G20,5.73
Rep2,1,6,G8,4.70
Rep2,1,7,G6,5.63
Rep2,2,1,G24,4.07
Rep2,2,2,G21,5.66
Rep2,2,3,G12,4.98
Rep2,2,4,G4,4.04
Rep2,2,5,G23,4.27
Rep2,2,6,G13,4.10
Rep2,2,7,G3,4.75
Rep2,3,1,G11,5.66
Rep2,3,2,G7,6.43
Rep2,3,3,G26,4.59
Rep2,3,4,G5,5.20
Rep2,3,5,G35,4.83
Rep2,3,6,G10,4.70
Rep2,3,7,G30,4.23
Rep2,4,1,G33,5.71
Rep2,4,2,G9,6.13
Rep2,4,3,G17,4.63
Rep2,4,4,G18,5.48
Rep2,4,5,G32,5.47
Rep2,4,6,G15,.
Rep2,4,7,G2,4.16
Rep2,5,1,G1,5.22
Rep2,5,2,G27,6.16
Rep2,5,3,G16,4.20
Rep2,5,4,G29,4.66
Rep2,5,5,G14,5.54
Rep2,5,6,G28,3.81
Rep2,5,7,G22,3.60
